"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Signup/Login Page","Verify that the Signup/Login page loads correctly","0","0","1","0","0"
"","ContactUsPage","Send a message through the Contact Us form","0","0","1","0","0"
"","ContactUsPage","Verify that the Contact Us page loads correctly","0","0","1","0","0"
"","Verify the product page and its details","Verify that a single product's details are correct","0","0","4","0","0"
"","Product Details Page","Verify the Product Details Page loads correctly","0","0","1","0","0"
"","Product Details Page","Submit a product review","0","0","1","0","0"
"","Products Page","Add multiple products to the shopping cart","0","0","1","0","0"
"","Login Page","Validate that the user logs in successfully","0","0","1","0","0"
"","HomePage","Verify the HomePage UI","0","0","1","0","0"
"","Account Information Page","Validate that the account can be created successfully","0","0","1","0","0"
"","Shopping Cart Page","Verify that the product links in the cart are correct","0","0","1","0","0"
