"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 22 22:02:09 UTC 2025","Tue Apr 22 22:02:11 UTC 2025","1866","","Signup/Login Page","","Verify that the Signup/Login page loads correctly","","Verify that the Signup/Login page loads correctly",""
"passed","Tue Apr 22 22:02:20 UTC 2025","Tue Apr 22 22:02:24 UTC 2025","3297","","ContactUsPage","","Send a message through the Contact Us form","","Send a message through the Contact Us form",""
"passed","Tue Apr 22 22:02:17 UTC 2025","Tue Apr 22 22:02:20 UTC 2025","3374","","ContactUsPage","","Verify that the Contact Us page loads correctly","","Verify that the Contact Us page loads correctly",""
"passed","Tue Apr 22 22:02:54 UTC 2025","Tue Apr 22 22:02:57 UTC 2025","2809","","Verify the product page and its details","","Verify that a single product's details are correct","","Verify that a single product's details are correct",""
"passed","Tue Apr 22 22:02:25 UTC 2025","Tue Apr 22 22:02:29 UTC 2025","4341","","Product Details Page","","Verify the Product Details Page loads correctly","","Verify the Product Details Page loads correctly",""
"passed","Tue Apr 22 22:02:29 UTC 2025","Tue Apr 22 22:02:35 UTC 2025","5368","","Product Details Page","","Submit a product review","","Submit a product review",""
"passed","Tue Apr 22 22:02:35 UTC 2025","Tue Apr 22 22:02:51 UTC 2025","16620","","Products Page","","Add multiple products to the shopping cart","","Add multiple products to the shopping cart",""
"passed","Tue Apr 22 22:03:01 UTC 2025","Tue Apr 22 22:03:05 UTC 2025","3631","","Verify the product page and its details","","Verify that a single product's details are correct","","Verify that a single product's details are correct",""
"passed","Tue Apr 22 22:02:57 UTC 2025","Tue Apr 22 22:03:01 UTC 2025","4338","","Verify the product page and its details","","Verify that a single product's details are correct","","Verify that a single product's details are correct",""
"passed","Tue Apr 22 22:02:06 UTC 2025","Tue Apr 22 22:02:09 UTC 2025","2477","","Login Page","","Validate that the user logs in successfully","","Validate that the user logs in successfully",""
"passed","Tue Apr 22 22:02:51 UTC 2025","Tue Apr 22 22:02:54 UTC 2025","2922","","Verify the product page and its details","","Verify that a single product's details are correct","","Verify that a single product's details are correct",""
"passed","Tue Apr 22 22:02:24 UTC 2025","Tue Apr 22 22:02:25 UTC 2025","1289","","HomePage","","Verify the HomePage UI","","Verify the HomePage UI",""
"passed","Tue Apr 22 22:01:53 UTC 2025","Tue Apr 22 22:02:06 UTC 2025","12997","","Account Information Page","","Validate that the account can be created successfully","","Validate that the account can be created successfully",""
"passed","Tue Apr 22 22:02:11 UTC 2025","Tue Apr 22 22:02:17 UTC 2025","6285","","Shopping Cart Page","","Verify that the product links in the cart are correct","","Verify that the product links in the cart are correct",""
